耗材,	耗材部
门诊,治疗,	门诊部
教育,宣教,	教育部
教学,教师,教质,教务,教管,事业,教学管理,系统,教育培训,教导,教学服务,教育,教育系统事业,教育事业,政教,服务,助教,教务处,教职,	教务部
批发,	批发部
建设系统事业,建筑事业,事业,建筑设计,建设,系统,建设维护,建筑,维护,	建设部
宾客服务,服务,礼品,宾客,	宾客服务部
电话销售,行销,电购,电话,电话行销,	电销部
检验科,	检验科
酒吧,中餐,西点,餐饮,餐饮事业,餐,中厨,散客,厨房,西餐,点心,事业,酒店餐饮,餐厅,厨,中,宴会,酒水,咨客,餐飲,面包,餐饮服务,飲,厨务,传菜,服务,	餐饮部
家居,事业,家居事业,	家居部
机票,机票事业,出票,事业,票务,机票业务,机票预订,预订,业务,	票务部
结构设计,结构,	结构部
电脑,事业,计算机事业,笔记本事业,笔记本,计算机,	电脑部
科技,信息,科技管理,科技信息,管理,科研,发展,科技发展,	科技部
厂,厂务工程,厂务,厂办,工厂,工程,	厂务部
会务,	会务部
党群,党委,党委宣传,党群工作,党委工作,宣传,工作,党政,党支,	党群工作部
监控,监管,	监管部
酒店,酒店工程,事业,酒店业务,酒店管理,工程,业务,酒店事业,	酒店事业部
军工,事业,军工事业,	军工事业部
地面服务,计调,服务,地面,地接,	地接部
计量,	计量部
栏目,导演,剧组,播音,节目,制作,出品,节目制作,	节目部
客服,客服销售,事业,客服服务,服务,客服管理,客户服务,客服事业,	客户服务部
连锁,运营,事业,连锁发展,连锁店,管理,连锁事业,连锁店管理,发展,连锁运营,	连锁部
合作,发展,合作发展,	合作部
呼叫中心事业,后勤服务,呼入,事业,后勤管理,服务,呼叫中心,管理,后勤,保洁,	后勤部
发行,出版,版权,	出版部
精品,	精品部
车贷,	车贷部
出货,货运,货品,货仓,货代,	货运部
事业,集成,集成事业,	集成部
预算,诉讼,稽查,管理,审计法务,合同,专案管理,成本,合约预算,法务合规,合约,稽核,合同预算,律师,稽核审计,法律,专案,合约成本,监察,法务,法律事务,审计,稽核监察,审批,合同管理,合规,法律合规,合约管理,事务,	法务部
食品,非食品,非,	非食品部
