888000195 ,天津铁道职业技术学院,	0x14e4
888001012 ,无锡教育学院,	0x14e5
888002773 ,衡阳医学院,	0x14e2
888000029 ,北京农业大学,	0x14e3
888003208 ,梧州职业学院,	0x14e8
888000400 ,大同职业技术学院,	0x14e9
888002213 ,泰山职业技术学院,	0x14e6
888002219 ,山东商务职业学院,	0x14e7
888000940 ,上海立信会计学院,	0x14e0
888001097 ,常州大学怀德学院,	0x14e1
888002357 ,河南大学民生学院,	0x14cb
888004363 ,中国人民解放军海军军医大学,	0x14cc
888003814 ,西安市农业学校,	0x14ca
888002721 ,中南大学,	0x14cf
888002010 ,滨州学院,	0x14cd
888002627 ,湖北职业技术学院,	0x14ce
888000689 ,辽宁建筑职业技术学院,	0x14d9
888000814 ,黑龙江中医药大学,	0x14f5
888001035 ,南京艺术学院,	0x14f6
888004381 ,中国人民武装警察部队指挥学院,	0x14f3
888000710 ,长春邮电学院,	0x14f4
888000198 ,天津城市建设管理职业技术学院,	0x14f9
888001423 ,义乌工商职业技术学院,	0x14f7
888001951 ,江西传媒职业学院,	0x14f8
888002726 ,湘潭工学院,	0x14f1
888003781 ,陕西财经职业技术学院,	0x14f2
888001910 ,江西艺术职业学院,	0x14f0
888001838 ,江西科技学院,	0x14dc
888001983 ,青岛冶金矿山职工大学,	0x14dd
888000833 ,黑龙江东方学院,	0x14da
888001302 ,浙江会计学校,	0x14db
888002497 ,河南测绘职业学院,	0x14de
888003378 ,乐山师范高等专科学校,	0x14df
888001281 ,湖州师范学校,	0x14ed
888002652 ,武汉工交职业学院,	0x14ee
888000852 ,哈尔滨音乐学院,	0x14eb
888001122 ,江苏省劳动经济学校,	0x14ec
888002758 ,常德高等专科学校,	0x14ef
888000576 ,交通部所属大连海运学校,	0x14ea
888000904 ,上海医科大学,	0x14fe
888002385 ,濮阳师范学校,	0x14ff
888002883 ,湖南中医药高等专科学校,	0x14fc
888000630 ,东北财经大学津桥商学院,	0x14fd
888001314 ,宁波高等专科学校,	0x14fa
888002680 ,咸宁财贸工商管理学校,	0x14fb
888001691 ,三明职业大学,	0x162c
888002194 ,德州职业技术学院,	0x162d
888000860 ,黑龙江建筑职业技术学院,	0x162a
888001628 ,民办合肥财经职业学院,	0x162b
888002041 ,菏泽师范学校,	0x1638
888002220 ,山东轻工职业学院,	0x1639
888000266 ,河北金融学院,	0x1636
888000887 ,黑龙江三江美术职业学院,	0x1637
888000402 ,晋中教育学院,	0x1630
888000506 ,哲里木畜牧学院,	0x1631
888003363 ,川北医学院,	0x1634
888000099 ,北京信息职业技术学院,	0x1635
888000548 ,赤峰职业技术学院,	0x1632
888002606 ,武汉学院,	0x1633
888002948 ,广东白云职业技术学院,	0x161f
888002161 ,山东水利职业学院,	0x161d
888002774 ,长沙医学院,	0x161e
888003566 ,昆明理工大学,	0x163a
888001288 ,临海师范学校,	0x163d
888002681 ,咸宁财税会计学校,	0x163e
888001710 ,厦门华厦职业学院,	0x163b
888004106 ,太原钢铁(集团)有限公司职工钢铁学院,	0x163c
888003250 ,重庆职工医学院,	0x1649
888002559 ,咸宁高等师范专科学校,	0x1647
888002837 ,湖南省广播电视学校,	0x1648
888002879 ,湖南城建职业技术学院,	0x1641
888000543 ,内蒙古交通职业技术学院,	0x1642
888000340 ,河北旅游职业学院,	0x1640
888002239 ,泰山护理职业学院,	0x1645
888002349 ,郑州教育学院,	0x1646
888001756 ,泉州华光职业学院,	0x1643
888001904 ,江西旅游商贸职业学院,	0x1644
888003386 ,成都电子机械高等专科学校,	0x162e
888003703 ,咸阳师范专科学校,	0x162f
888001516 ,安徽省经贸学校,	0x164a
888001584 ,安徽省体育运动技术学校,	0x164b
888000296 ,河北工业大学城市学院,	0x164e
888000479 ,运城幼儿师范高等专科学校,	0x164f
888003851 ,兰州理工大学,	0x164c
888000003 ,中国人民大学,	0x164d
888001396 ,浙江供销学校,	0x1658
888001844 ,江西科技师范大学,	0x1659
888000361 ,石家庄医学高等专科学校,	0x1652
888000645 ,抚顺师范高等专科学校,	0x1653
888001720 ,福建师范大学协和学院,	0x1650
888001805 ,福州艺术学校,	0x1651
888000456 ,山西省水利学校,	0x1656
888000461 ,山西省物资学校,	0x1657
888000901 ,哈尔滨幼儿师范高等专科学校,	0x1654
888001517 ,池州师范专科学校,	0x1655
888003585 ,保山师范高等专科学校,	0x163f
888002233 ,山东文化产业职业学院,	0x165b
888003915 ,甘肃机电职业技术学院,	0x165c
888002133 ,潍农业学校,	0x165a
888002661 ,武汉电力学校,	0x165f
888000800 ,哈尔滨工程大学,	0x165d
888000927 ,上海海关学院,	0x165e
888002610 ,武汉设计工程学院,	0x1669
888001761 ,建阳师范学校,	0x1663
888002930 ,惠阳师范专科学校,	0x1664
888000891 ,黑龙江民族职业学院,	0x1661
888001538 ,安徽教育学院,	0x1662
888003704 ,陕西省咸阳教育学院,	0x1667
888000481 ,山西经贸职业学院,	0x1668
888003549 ,贵州建设职业技术学院,	0x1665
888003696 ,西北林学院,	0x1666
888004017 ,新疆艺术学院,	0x1660
888000876 ,大兴安岭职业学院,	0x1605
888003065 ,珠海城市职业技术学院,	0x1606
888000267 ,保定金融高等专科学校,	0x1603
888000310 ,张家口教育学院,	0x1604
888003888 ,酒泉地区工业学校,	0x1609
888003562 ,贵州经贸职业技术学院,	0x1607
888001292 ,丽水学院,	0x1608
888002404 ,商丘文化艺术学校,	0x1601
888002615 ,湖北省电子工业学校,	0x1602
888001025 ,中国药科大学,	0x1600
888003313 ,重庆医药高等专科学校,	0x160a
888000242 ,廊坊师范学校,	0x160b
888003538 ,贵阳护理职业学院,	0x1616
888004233 ,第一拖拉机制造厂拖拉机学院,	0x1617
888001955 ,赣州师范高等专科学校,	0x1614
888003095 ,广州华商职业学院,	0x1615
888000105 ,北京交通职业技术学院,	0x1618
888000696 ,辽宁工程职业学院,	0x1619
888003787 ,西安三资职业学院,	0x1612
888000953 ,上海商学院,	0x1613
888002678 ,咸宁职业技术学院,	0x1610
888002962 ,五邑大学,	0x1611
888001091 ,江苏大学京江学院,	0x161b
888001481 ,黄山林业学校,	0x161c
888000788 ,白城职业技术学院,	0x161a
888002388 ,黄河水利职业技术学院,	0x1627
888002777 ,长沙职业技术师范专科学校,	0x1628
888001780 ,泉州市德化技术学校,	0x1625
888002342 ,公安部郑州铁路人民警察学校,	0x1626
888003135 ,玉林师范学院,	0x1629
888003869 ,兰州文理学院,	0x1620
888000534 ,内蒙古化工职业学院,	0x1623
888001590 ,池州职业技术学院,	0x1624
888003975 ,中国矿业大学银川学院,	0x1621
888003440 ,宜宾职业技术学院,	0x1622
888002150 ,聊城广播电视大学,	0x160e
888002227 ,临沂职业学院,	0x160f
888000607 ,辽宁科技学院,	0x160c
888001001 ,江苏省江海贸易学校,	0x160d
888003603 ,文山师范高等专科学校,	0x1a03
888003577 ,昭通师范专科学校,	0x1a02
888003321 ,重庆商务职业学院,	0x1a01
888003308 ,重庆市职工大学,	0x1a00
888002848 ,湖南机电工程学校,	0x1a07
888001159 ,苏州经贸职业技术学院,	0x1a06
888000372 ,柴沟堡师范,	0x1a05
888004322 ,陕西省建筑工程总公司职工大学,	0x1a04
888000048 ,北京语言文化大学,	0x1a14
888004355 ,中国人民解放军陆军军医大学,	0x1a13
888002682 ,咸宁应用科技学校,	0x1a12
888002523 ,武汉汽车工业大学,	0x1a11
888001176 ,苏州农业职业技术学院,	0x1a18
888001200 ,宿迁职业技术学院,	0x1a17
888000969 ,上海建峰职业技术学院,	0x1a16
888000357 ,石家庄科技信息职业学院,	0x1a15
888001847 ,南昌水利水电高等专科,	0x1a10
888001929 ,江西生物科技职业学院,	0x1a09
888003734 ,西安邮电大学,	0x1a08
888002252 ,河南体育专科学校,	0x1a25
888000624 ,中国医科大学临床医药学院,	0x1a24
888000172 ,北京科技大学天津学院,	0x1a23
888000112 ,北京市第三人民警察学校,	0x1a22
888001876 ,江西中医药大学科技学院,	0x1a29
888001826 ,上饶教育学院,	0x1a28
888001506 ,合肥学院,	0x1a27
888003408 ,西南财经大学天府学院,	0x1a26
888004335 ,青海省联合职工大学,	0x1a21
888003662 ,云南特殊教育职业学院,	0x1a20
888000910 ,上海机械高等专科学校,	0x1a0c
888004286 ,广西政法管理干部学院,	0x1a0b
888002188 ,烟台工程职业技术学院,	0x1a0a
888001775 ,福建省福州幼儿师范学校,	0x1a0f
888001365 ,杭州师范大学音乐学院,	0x1a0e
888001136 ,扬州职工学校,	0x1a0d
888002607 ,武汉工程科技学院,	0x1a19
888001927 ,宜春市技术工人学校,	0x1a36
888001695 ,龙岩师范高等专科学校,	0x1a35
888001687 ,厦门理工学院,	0x1a34
888002920 ,广东海洋大学,	0x1a33
888000688 ,辽宁信息职业技术学院,	0x1a39
888000004 ,清华大学,	0x1a38
