湖南人文科技学院	0x20
四川省化工职工大学	0x9be
甘肃政法学院	0xa7f
长春幼儿师范学校	0xfe4
西南科技大学	0xc09
黔南民族幼儿师范高等专科学校	0xdcf
湖北省电子工业学校	0x91f
滨州经济学校	0x9bc
湘西民族教育学院	0x1009
恩施职业技术学院	0x72f
长春建筑学院	0xfc1
阜新煤炭职工医学专科学校	0x54e
德宏职业学院	0xbe2
集美财经高等专科学校	0x59e
四川科技职业学院	0xb5d
黑龙江省纺织工业学校	0xcad
华北电业联合职工大学	0x669
大连海洋大学	0x67b
张家口师范专科学校	0x361
滨州供销技校	0x104e
白银有色金属职工大学	0xc48
浙江工贸职业技术学院	0xf8f
山东农业大学	0xc8f
杭州职业技术学院	0x4f0
四川警官高等专科学校	0x43c
博尔塔拉职业技术学院	0xe5d
广东茂名幼儿师范专科学校	0xff9
西藏大学农牧学院	0x160
北京交通职业技术学院	0x18c
安徽新华学院	0x483
黑龙江民族职业学院	0x7c8
福建省福州艺术师范学校	0x134
哈尔滨理工大学	0x208
延安农业学校	0x12e
白城林业学校	0x2e2
湖南农业大学东方科技学院	0x491
江西医学高等专科学校	0xd1b
郧阳师范高等专科学校	0x925
甘肃医学院	0x1e7
金华教育学院	0xdd1
河北青年管理干部学院	0xb49
丽水职业技术学院	0x1063
云南财经大学	0xdc9
重庆商学院	0x9b8
大连航运职业技术学院	0x17
中国人民解放军陆军指挥学院	0x91b
湖南省广播电视学校	0x560
上海师范大学天华学院	0x705
江苏第二师范学院	0x1123
菏泽师范学校	0x1031
河南护理职业学院	0x55b
四川旅游学院	0x5b2
福建商业高等专科学校	0x10ca
东北农业大学	0x4c7
银川科技职业学院	0x5b
河池师范高等专科学校	0x9e9
中央广播电视大学	0xe6a
信阳农业高等专科学校	0x88c
星海音乐学院	0xd38
长城铝业公司职工工学院	0x1077
滁州学院	0x10ba
新疆大学	0x25
湖北民族学院科技学院	0x90f
运城学院	0xdf5
义乌工商职业技术学院	0xde3
楚雄医药高等专科学校	0x44a
上海兴伟学院	0xd83
河北管理干部学院	0xf2c
肇庆医学高等专科学校	0x7aa
安徽师范大学皖江学院	0xa77
西安财经学院行知学院	0x1072
郑州师范学校	0x1152
湘南学院	0x9fa
雅安职业技术学院	0x544
辽宁地质工程职业学院	0x817
大连艺术学院	0xac0
濮阳医学高等专科学校	0xaf
民办四川天一学院	0xbd5
广西电力职业技术学院	0x215
桂林师范高等专科学校	0xb69
杭州科技职业技术学院	0xd3f
安徽建筑大学	0x106d
义乌商贸专修学院	0x6a
江苏食品药品职业技术学院	0xbbd
福州外语外贸职业技术学院	0x647
洛阳职工科技学院	0xff1
苏州大学	0x4c2
浙江机电职业技术学院	0xbf8
云南工商学院	0x733
西藏职业技术学院	0xb26
广东省司法警察学校	0x110b
武汉软件工程职业学院	0x24c
安徽医科大学临床医学院	0x15d
哈尔滨华德学院	0x99a
天津轻工职业技术学院	0x98b
贵阳护理职业学院	0xfca
内蒙古医科大学	0x565
福建师范大学闽南科技学院	0x523
